SPECIES,STRAIN,VERSION,PHYLUM,BIOPROJECT,BIOSAMPLE,LOCUS
Entomophthora muscae,UCB,Nanopore_v1,Zoopagomycota,PRJNA479887,SAMN09621101,DSO57v2
Entomophthora muscae,UCB,Nanopore10X_v2,Zoopagomycota,PRJNA479887,SAMN09621101,DSO57v3
Entomophaga maimaiga,var ARSEF 7190,v1,Zoopagomycota,NA,NA,EMAIM
Zoophthora radicans,ATCC 208865,v1,Zoopagomycota,NA,NA,ZOORAD
Massospora_cicadina,MCPNR19_6FC,v_medaka,Zoopagomycota,PRJNA795459,SAMN24722893,L0F63v6FC
Massospora_cicadina,MCPNR19,v_flye,Zoopagomycota,PRJNA795459,SAMN24722893,L0F63
Massospora_cicadina,UMICH,v1,Zoopagomycota,NA,NA,MCICUMICH
Entomophthora muscae,UCB,Nanopore10X_v4,Zoopagomycota,PRJNA479887,SAMN09621101,DSO57v4
Conidiobolus thromboides,FSU 785,Conth1.v1,Zoopagomycota,,,
